filename,split
rec_00000_seg000_ann0.csv,walk
rec_00000_seg001_ann0.csv,walk
rec_00001_seg000_ann0.csv,walk
rec_00001_seg001_ann0.csv,walk
rec_00002_seg000_ann0.csv,walk
rec_00002_seg001_ann0.csv,walk
rec_00003_seg000_ann0.csv,walk
rec_00004_seg000_ann0.csv,train
rec_00004_seg001_ann0.csv,train
rec_00004_seg002_ann0.csv,train
rec_00004_seg003_ann0.csv,train
rec_00004_seg004_ann0.csv,train
rec_00004_seg005_ann0.csv,train
rec_00005_seg000_ann0.csv,walk
rec_00005_seg001_ann0.csv,walk
rec_00005_seg002_ann0.csv,walk
rec_00005_seg003_ann0.csv,walk
rec_00006_seg000_ann0.csv,walk
rec_00006_seg001_ann0.csv,train
rec_00006_seg002_ann0.csv,train
rec_00007_seg000_ann0.csv,walk
rec_00008_seg000_ann0.csv,walk
rec_00008_seg001_ann0.csv,walk
rec_00008_seg002_ann0.csv,walk
rec_00008_seg003_ann0.csv,walk
rec_00009_seg000_ann0.csv,train
rec_00009_seg001_ann0.csv,train
rec_00009_seg002_ann0.csv,train
rec_00009_seg003_ann0.csv,train
rec_00009_seg004_ann0.csv,train
rec_00009_seg005_ann0.csv,train
rec_00009_seg006_ann0.csv,train
rec_00009_seg007_ann0.csv,train
rec_00009_seg008_ann0.csv,train
rec_00009_seg009_ann0.csv,train
rec_00009_seg010_ann0.csv,train
rec_00009_seg011_ann0.csv,train
rec_00010_seg000_ann0.csv,walk
rec_00011_seg000_ann0.csv,train
rec_00011_seg001_ann0.csv,train
rec_00012_seg000_ann0.csv,train
rec_00013_seg000_ann0.csv,walk
rec_00013_seg001_ann0.csv,walk
rec_00014_seg000_ann0.csv,walk
rec_00014_seg001_ann0.csv,walk
rec_00014_seg002_ann0.csv,walk
rec_00015_seg000_ann0.csv,walk
rec_00015_seg001_ann0.csv,walk
rec_00016_seg000_ann0.csv,walk
rec_00016_seg001_ann0.csv,walk
rec_00016_seg002_ann0.csv,walk
rec_00016_seg003_ann0.csv,walk
rec_00016_seg004_ann0.csv,walk
rec_00016_seg005_ann0.csv,walk
rec_00016_seg006_ann0.csv,walk
rec_00017_seg000_ann0.csv,test
rec_00017_seg001_ann0.csv,test
rec_00017_seg002_ann0.csv,test
rec_00017_seg003_ann0.csv,test
rec_00017_seg004_ann0.csv,test
rec_00017_seg005_ann0.csv,test
rec_00017_seg006_ann0.csv,test
rec_00017_seg007_ann0.csv,test
rec_00018_seg000_ann1.csv,test
rec_00019_seg000_ann1.csv,test
rec_00020_seg000_ann1.csv,test
rec_00021_seg000_ann1.csv,test
rec_00022_seg000_ann1.csv,test
rec_00022_seg001_ann1.csv,test
rec_00023_seg000_ann1.csv,test
rec_00023_seg001_ann1.csv,test
rec_00024_seg000_ann1.csv,test
rec_00025_seg000_ann1.csv,test
rec_00026_seg000_ann1.csv,test
rec_00026_seg001_ann1.csv,test
rec_00027_seg000_ann1.csv,test
rec_00027_seg001_ann1.csv,test
rec_00028_seg000_ann-1.csv,test
rec_00028_seg001_ann-1.csv,test
rec_00028_seg002_ann-1.csv,test
rec_00028_seg003_ann-1.csv,test
rec_00028_seg004_ann-1.csv,test
